Player,Team,Link
"Abdullah, Ameer",MIN,/player/ameerabdullah/2552374/
"Adams, Josh",NYJ,/player/joshadams/2560949/
"Allen, Javorius",NYG,/player/javoriusallen/2552631/
"Anderson, Bruce",IND,/player/bruceanderson/2562402/
"Anderson, Rodney",CIN,/player/rodneyanderson/2562221/
"Armah, Alex",CAR,/player/alexarmah/2558833/
"Armstead, Ryquell",JAX,/player/ryquellarmstead/2562622/
"Aston, George",NYG,/player/georgeaston/2563052/
"Ballage, Kalen",MIA,/player/kalenballage/2560967/
"Barber, Peyton",TB,/player/peytonbarber/2556466/
"Barkley, Saquon",NYG,/player/saquonbarkley/2560968/
"Barner, Kenjon",ATL,/player/kenjonbarner/2539289/
"Bawden, Nick",DET,/player/nickbawden/2560972/
"Bell, Le'Veon",NYJ,/player/le'veonbell/2540175/
"Bellore, Nick",SEA,/player/nickbellore/2495262/
"Bernard, Giovani",CIN,/player/giovanibernard/2540156/
"Blasingame, Khari",TEN,/player/khariblasingame/2562869/
"Bolden, Brandon",NE,/player/brandonbolden/2532797/
"Bonnafon, Reggie",CAR,/player/reggiebonnafon/2561184/
"Booker, Devontae",DEN,/player/devontaebooker/2555223/
"Boone, Mike",MIN,/player/mikeboone/2561099/
"Breida, Matt",SF,/player/mattbreida/2558918/
"Brooks-James, Tony",MIN,/player/tonybrooks-james/2563300/
"Brown, Malcolm",LA,/player/malcolmbrown/2552382/
"Burkhead, Rex",NE,/player/rexburkhead/2539265/
"Burton, Michael",WAS,/player/michaelburton/2552636/
"Cannon, Trenton",NYJ,/player/trentoncannon/2561137/
"Carson, Chris",SEA,/player/chriscarson/2558865/
"Carson, Tra",DET,/player/tracarson/2556493/
"Carter, Cethan",CIN,/player/cethancarter/2558929/
"Choice, Adam",SEA,/player/adamchoice/2563021/
"Chubb, Nick",CLE,/player/nickchubb/2561021/
"Chunn, Jordan",DAL,/player/jordanchunn/2561308/
"Clement, Corey",PHI,/player/coreyclement/2559150/
"Cohen, Tarik",CHI,/player/tarikcohen/2558250/
"Coleman, Tevin",SF,/player/tevincoleman/2552453/
"Conner, James",PIT,/player/jamesconner/2557978/
"Cook, Dalvin",MIN,/player/dalvincook/2557991/
"Cox, Chandler",MIA,/player/chandlercox/2562959/
"Cox, Jeremy",DEN,/player/jeremycox/2562974/
"Crockett, Damarea",GB,/player/damareacrockett/2563223/
"Crowell, Isaiah",LV,/player/isaiahcrowell/2550189/
"Davis, Mike",CAR,/player/mikedavis/2553439/
"Dawkins, Dalyn",TEN,/player/dalyndawkins/2561524/
"Develin, James",NE,/player/jamesdevelin/2508101/
"DiMarco, Patrick",BUF,/player/patrickdimarco/2530763/
"Dixon, Kenneth",NYJ,/player/kennethdixon/2555229/
"Drake, Kenyan",ARI,/player/kenyandrake/2555230/
"Edmonds, Chase",ARI,/player/chaseedmonds/2560711/
"Edmunds, Trey",PIT,/player/treyedmunds/2559325/
"Edwards, Gus",BAL,/player/gusedwards/2561324/
"Ekeler, Austin",LAC,/player/austinekeler/2559169/
"Elliott, Ezekiel",DAL,/player/ezekielelliott/2555224/
"Ervin, Tyler",GB,/player/tylerervin/2555234/
"Ferguson, Josh",WAS,/player/joshferguson/2556411/
"Fluellen, David",TEN,/player/davidfluellen/2550289/
"Foster, D.J.",ARI,/player/d.j.foster/2556528/
"Fournette, Leonard",JAX,/player/leonardfournette/2557973/
"Freeman, Devonta",ATL,/player/devontafreeman/2543583/
"Freeman, Royce",DEN,/player/roycefreeman/2560733/
"Gallman, Wayne",NYG,/player/waynegallman/2557952/
"Gaskin, Myles",MIA,/player/mylesgaskin/2562270/
"Gillaspia, Cullen",HOU,/player/cullengillaspia/2562906/
"Gordon, Melvin",LAC,/player/melvingordon/2552469/
"Gore, Frank",BUF,/player/frankgore/2506404/
"Guice, Derrius",WAS,/player/derriusguice/2561000/
"Gurley, Todd",LA,/player/toddgurley/2552475/
"Hall, Darrin",PIT,/player/darrinhall/2562941/
"Ham, C.J.",MIN,/player/c.j.ham/2556803/
"Harris, Damien",NE,/player/damienharris/2562281/
