Player,Team,Link
"Nauta, Isaac",DET,/player/isaacnauta/2562691/
"Njoku, David",CLE,/player/davidnjoku/2557986/
"O'Leary, Nick",JAX,/player/nicko'leary/2552403/
"O'Shaughnessy, James",JAX,/player/jameso'shaughnessy/2553318/
"Oliver, Josh",JAX,/player/josholiver/2562693/
"Olsen, Greg",SEA,/player/gregolsen/2495700/
"Perkins, Josh",PHI,/player/joshperkins/2556444/
"Pruitt, MyCole",TEN,/player/mycolepruitt/2552401/
"Rader, Kevin",PIT,/player/kevinrader/2561264/
"Raymond, Dax",CHI,/player/daxraymond/2562710/
"Reed, Jordan",WAS,/player/jordanreed/2540160/
"Roberts, Michael",MIA,/player/michaelroberts/2558049/
"Rodgers, Richard",PHI,/player/richardrodgers/2550313/
"Rudolph, Kyle",MIN,/player/kylerudolph/2495438/
"Sample, Drew",CIN,/player/drewsample/2562720/
"Saubert, Eric",CHI,/player/ericsaubert/2558023/
"Scarff, Charles",BAL,/player/charlesscarff/2563101/
"Schreck, Mason",CIN,/player/masonschreck/2558864/
"Schultz, Dalton",DAL,/player/daltonschultz/2560866/
"Scotland-Williamson, Christian",PIT,/player/christianscotland-williamson/2561517/
"Seals-Jones, Ricky",CLE,/player/rickyseals-jones/2559248/
"Shaheen, Adam",CHI,/player/adamshaheen/2558144/
"Simonson, Scott",NYG,/player/scottsimonson/2550599/
"Smith, Irv",MIN,/player/irvsmith/2562738/
"Smith, Jonnu",TEN,/player/jonnusmith/2558207/
"Smith, Lee",BUF,/player/leesmith/2495347/
"Smith, Kaden",NYG,/player/kadensmith/2562740/
"Smythe, Durham",MIA,/player/durhamsmythe/2560880/
"Sokol, Matt",DET,/player/mattsokol/2562980/
"Sprinkle, Jeremy",WAS,/player/jeremysprinkle/2557886/
"Sternberger, Jace",GB,/player/jacesternberger/2562744/
"Stocker, Luke",ATL,/player/lukestocker/2495234/
"Swaim, Geoff",JAX,/player/geoffswaim/2553454/
"Sweeney, Tommy",BUF,/player/tommysweeney/2562750/
"Swoopes, Tyrone",SEA,/player/tyroneswoopes/2559263/
"Thomas, Ian",CAR,/player/ianthomas/2560894/
"Thomas, Jordan",HOU,/player/jordanthomas/2560896/
"Thomas, Logan",DET,/player/loganthomas/2543767/
"Toilolo, Levine",SF,/player/levinetoilolo/2540203/
"Tomlinson, Eric",LV,/player/erictomlinson/2553744/
"Tonyan, Robert",GB,/player/roberttonyan/2559270/
"Travis, Ross",NYJ,/player/rosstravis/2554630/
"Uzomah, C.J.",CIN,/player/c.j.uzomah/2552559/
"Vander Laan, Jason",NO,/player/jasonvanderlaan/2556700/
"Vannett, Nick",PIT,/player/nickvannett/2555289/
"Vollert, Andrew",LAC,/player/andrewvollert/2561284/
"Walford, Clive",MIA,/player/clivewalford/2552397/
"Walker, Delanie",TEN,/player/delaniewalker/2495966/
"Waller, Darren",LV,/player/darrenwaller/2552408/
"Warring, Kahale",HOU,/player/kahalewarring/2562771/
"Watson, Benjamin",NE,/player/benjaminwatson/2506122/
"Wells, David",KC,/player/davidwells/2560925/
"Wesco, Trevon",NYJ,/player/trevonwesco/2562777/
"Wick, Cole",NO,/player/colewick/2556708/
"Williams, Maxx",ARI,/player/maxxwilliams/2552468/
"Willson, Luke",SEA,/player/lukewillson/2541199/
"Wilson, Caleb",WAS,/player/calebwilson/2562603/
"Witten, Jason",DAL,/player/jasonwitten/2505629/
"Wolf, Ethan",LA,/player/ethanwolf/2561422/
"Yelder, Deon",KC,/player/deonyelder/2561293/
